id	document_id	entity_id	entity_type	paragraph	word
12816	78	1759	Models::Entity	441	14
12817	78	1893	Models::Entity	443	22
12818	78	1894	Models::Entity	443	69
12819	78	1893	Models::Entity	445	22
12820	78	1893	Models::Entity	445	22
12821	78	1893	Models::Entity	445	22
12822	78	1786	Models::Entity	445	109
12823	78	1895	Models::Entity	445	115
12824	78	1499	Models::Article	445	104
12825	78	1500	Models::Article	445	104
12826	78	1893	Models::Entity	447	12
12827	78	1893	Models::Entity	447	12
12828	78	1896	Models::Entity	447	71
12829	78	1788	Models::Entity	449	8
12830	78	1897	Models::Entity	449	23
12831	78	1872	Models::Entity	449	29
12832	78	1898	Models::Entity	449	42
12833	78	1788	Models::Entity	449	8
12834	78	1759	Models::Entity	451	11
12835	78	1786	Models::Entity	451	115
12836	78	1501	Models::Article	451	110
12837	78	1502	Models::Article	451	110
12838	78	1759	Models::Entity	459	40
12839	78	1799	Models::Entity	459	57
12840	78	1759	Models::Entity	461	34
12841	78	1759	Models::Entity	461	34
12842	78	1799	Models::Entity	461	82
12843	78	1799	Models::Entity	463	44
12844	78	1759	Models::Entity	465	34
12845	78	1799	Models::Entity	465	80
12846	78	1899	Models::Entity	469	30
12847	78	1799	Models::Entity	469	52
12848	78	1799	Models::Entity	469	52
12849	78	1775	Models::Entity	474	3
12850	78	1758	Models::Entity	474	17
12851	78	1900	Models::Entity	474	61
12852	78	1759	Models::Entity	476	15
12853	78	1900	Models::Entity	476	31
12854	78	1759	Models::Entity	478	14
12855	78	1759	Models::Entity	483	11
12856	78	1901	Models::Entity	489	15
12857	78	1902	Models::Entity	491	21
12858	78	1903	Models::Entity	491	29
12859	78	1904	Models::Entity	491	84
12860	78	1905	Models::Entity	493	57
12861	78	1823	Models::Entity	499	15
12862	78	1759	Models::Entity	501	22
12863	78	1906	Models::Entity	501	53
12864	78	1759	Models::Entity	503	26
12865	78	1907	Models::Entity	503	57
12866	78	1759	Models::Entity	503	26
12867	78	1908	Models::Entity	503	84
12868	78	1786	Models::Entity	505	8
12869	78	1786	Models::Entity	505	8
12870	78	1503	Models::Article	505	5
12871	78	1909	Models::Entity	507	5
12872	78	1910	Models::Entity	507	8
12873	78	1911	Models::Entity	511	5
12874	78	1912	Models::Entity	513	1
12875	78	1913	Models::Entity	513	49
12876	78	1759	Models::Entity	517	9
12877	78	1914	Models::Entity	525	3
12878	78	1915	Models::Entity	525	8
12879	78	1914	Models::Entity	527	1
12880	78	1916	Models::Entity	529	32
12881	78	1873	Models::Entity	532	5
12882	78	1917	Models::Entity	534	70
12883	78	1918	Models::Entity	534	117
12884	78	1759	Models::Entity	536	11
12885	78	1916	Models::Entity	536	39
12886	78	1759	Models::Entity	536	11
12887	78	1916	Models::Entity	536	39
12888	78	1759	Models::Entity	536	11
12889	78	1916	Models::Entity	536	39
12890	78	1919	Models::Entity	536	152
12891	78	1920	Models::Entity	542	7
12892	78	1921	Models::Entity	542	31
12893	78	1922	Models::Entity	550	26
12894	78	1923	Models::Entity	552	28
12895	78	1924	Models::Entity	552	55
12896	78	1759	Models::Entity	554	41
12897	78	1759	Models::Entity	556	47
